created_at,favorite_count,favorited,geo,hashtags,posicion,retweet_count,retweeted,source,text,user_location,user_name
Mon Dec 10 20:56:03 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",,Tito- capitulo 3 versículo 2
Mon Dec 10 20:53:44 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",Bs As,Cuti
Mon Dec 10 20:52:03 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…","Mérida, Yucatán",DFML
Mon Dec 10 20:49:52 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",,Nicaragua Libre🇳🇮🖤
Mon Dec 10 20:49:31 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",,Carlos
Mon Dec 10 20:48:47 +0000 2018,0,False,,[],no,18,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @TuKuyRiKuy4: En el Día Internacional de los Derechos Humanos debemos reafirmar nuestro compromiso para defender y respetar los derechos…,Cañete,esther guillen
Mon Dec 10 20:47:41 +0000 2018,0,False,,"['ImpotenciaIndignación', 'NoAlAborto']",no,88,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @CrSu19: #ImpotenciaIndignación!!!😢
#NoAlAborto
ABERRANTE HECHO EN UN HOSPITAL DE ENTRE RÍOS
UN BEBÉ AGONIZÓ 10HS ARRIBA DE UNA BANDEJA…",Ciudad Autónoma de Buenos Aire,Mercedes Cruz💛💛💛
Mon Dec 10 20:47:03 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",,Juan
Mon Dec 10 20:38:02 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",Argentina,Dani
Mon Dec 10 20:34:29 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",,Gerardo Geisse
Mon Dec 10 20:34:06 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",,María Isabel García
Mon Dec 10 20:31:50 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",TANDIL - BS AS - ARGENTINA,JUMBO-47
Mon Dec 10 20:30:10 +0000 2018,0,False,,['DDHH'],no,529,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @BalleriniVIDA: Acá comienzan los #DDHH de todos los humanos, nacidos y concebidos por nacer. La vida es el primer Derecho que un Estado…",,JMmartinez_chaleco amarillo
